
Suffix,Effective Date,Transaction Description,Amount,Withheld,Balance

9 - CHECKING,04/18/2014,Purchase: 50250418 MEIJER INC 118 1500 E. ALEXIS RD TOLEDO OH Card: ****3421 04/18/2014,-32.07,0.00,2739.20
9 - CHECKING,04/18/2014,Purchase: 00186890 TOYS R US TOLEDO OH Card: ****3421 04/18/2014,-24.59,0.00,2771.27
9 - CHECKING,04/18/2014,Purchase: 06220080 TARGET T0622 TOLED Toledo OH Card: ****3421 04/18/2014,-21.39,0.00,2795.86
9 - CHECKING,04/18/2014,Purchase: KC681000 KROGER 841 W. ALEXIS TOLEDO OH Card: ****3421 04/18/2014,-60.99,0.00,2817.25
9 - CHECKING,04/18/2014,Purchase: 001 LOWES #1659 1136 WEST ALEXIS R TOLEDO OH Card: ****3421 04/18/2014,-20.31,0.00,2878.24
9 - CHECKING,04/18/2014,Withdrawal HUNTINGTON BANKS-IL PAYMENT *******7065,-191.18,0.00,2898.55
9 - CHECKING,04/17/2014,Withdrawal Check # 6138 Trace: 90344234,-90.00,0.00,3089.73
9 - CHECKING,04/17/2014,Purchase: KCO86411 KROGER 3462 W.STERNS RD. LAMBERTVILLE MI Card: ****9706 04/17/2014,-108.52,0.00,3179.73
9 - CHECKING,04/17/2014,Withdrawal CONSUMERS ENERGY-ENERGYBILL ********5382,-178.00,0.00,3288.25
9 - CHECKING,04/16/2014,Withdrawal CHASE-EPAY ******4030 (S),-195.11,0.00,3466.25
9 - CHECKING,04/16/2014,Deposit IRS TREAS 310-TAX REF ***********0909,738.00,0.00,3661.36
9 - CHECKING,04/15/2014,Purchase: 06220076 TARGET T0622 TOLED Toledo OH Card: ****9706 04/15/2014,-121.16,0.00,2923.36
9 - CHECKING,04/15/2014,Withdrawal SALLIE MAE-SLMA DEBIT **********1001F,-138.36,0.00,3044.52
9 - CHECKING,04/15/2014,Deposit Payroll-PAY *****1946,2231.19,0.00,3182.88
9 - CHECKING,04/14/2014,Purchase: 99999999 MANCINOS PIZZA & GRIND TEMPERANCE MI Card: ****3421 04/12/2014,-18.04,0.00,951.69
9 - CHECKING,04/13/2014,Purchase: 99999999 PARTY CITY #609 TOLEDO OH Card: ****9706 04/11/2014,-3.20,0.00,969.73
9 - CHECKING,04/13/2014,Purchase: KCO86486 KROGER 3462 W.STERNS RD. LAMBERTVILLE MI Card: ****3421 04/13/2014,-67.32,0.00,972.93
9 - CHECKING,04/12/2014,Purchase: KCO81004 KROGER 833 ALEXIS RD TOLEDO OH Card: ****3421 04/12/2014,-30.99,0.00,1040.25
9 - CHECKING,04/12/2014,Purchase: 06220078 TARGET T0622 TOLED Toledo OH Card: ****3421 04/12/2014,-116.03,0.00,1071.24
9 - CHECKING,04/11/2014,Purchase: 99100711 COSTCO WHSE #1007 3405 W CENTRAL AVE TOLEDO OH Card: ****9706 04/11/2014,-134.57,0.00,1187.27
9 - CHECKING,04/09/2014,Purchase: 023 PIZZA HUT 316903169190 LAMBERTVILLE MI Card: ****3421 04/08/2014,-13.78,0.00,1321.84
9 - CHECKING,04/09/2014,Purchase: 99999999 MCDONALDS M2089 OF TOLEDO OH Card: ****3421 04/08/2014,-7.48,0.00,1335.62
9 - CHECKING,04/08/2014,Purchase: 001 SUBWAY 00155366 TEMPERANCE MI Card: ****3421 04/07/2014,-8.96,0.00,1343.10
9 - CHECKING,04/08/2014,Purchase: KCO86489 KROGER 3462 W.STERNS RD. LAMBERTVILLE MI Card: ****3421 04/08/2014,-12.36,0.00,1352.06
9 - CHECKING,04/08/2014,Withdrawal THE STUDENT LOAN-DSLCPYMNTS ***********5307,-120.58,0.00,1364.42
9 - CHECKING,04/07/2014,Purchase: 06220078 TARGET T0622 TOLED Toledo OH Card: ****9706 04/07/2014,-86.61,0.00,1485.00
9 - CHECKING,04/07/2014,Withdrawal SALLIE MAE-SLMA DEBIT **********1002F,-57.92,0.00,1571.61
9 - CHECKING,04/07/2014,Withdrawal MICHIGAN GAS-ONLINE PMT CKF*****7973NEG,-135.70,0.00,1629.53
9 - CHECKING,04/05/2014,Purchase: 99999999 LITTLE CAESARS 1574 00 LAMBERTVILLE MI Card: ****3421 04/04/2014,-7.29,0.00,1765.23
9 - CHECKING,04/04/2014,Purchase: 30135488 MCC BSA - ECOMM FLINT MI Card: ****3421 04/03/2014,-10.00,0.00,1772.52
9 - CHECKING,04/04/2014,Purchase: 0000 HRB ONLINE TAX PRODUCT 8004725625 MO Card: ****3421 04/03/2014,-79.48,0.00,1782.52
9 - CHECKING,04/03/2014,Purchase: 60110403 MEIJER INC 118 1500 E. ALEXIS RD TOLEDO OH Card: ****9706 04/03/2014,-121.13,0.00,1862.00
9 - CHECKING,04/03/2014,Purchase: 71440403 MEIJER IN 1500 E. TOLEDO OH Card: ****9706 04/03/2014,-9.80,0.00,1983.13
9 - CHECKING,04/03/2014,Withdrawal BP BRIAN KRABACH-BILL PMT TRAN#84,-1146.83,0.00,1992.93
9 - CHECKING,04/02/2014,Purchase: KCO86414 KROGER 3462 W.STERNS RD. LAMBERTVILLE MI Card: ****9706 04/02/2014,-158.99,0.00,3139.76
9 - CHECKING,04/02/2014,Withdrawal PROG MARATHON-INS PREM *****3490  GREGO,-197.25,0.00,3298.75
