
Suffix,Effective Date,Transaction Description,Amount,Withheld,Balance

9 - CHECKING,04/17/2012,Purchase: KCO51181 KROGER 4925 JACKMAN RD TOLEDO OH Card: ****9706 04/17/2012,-17.17,0.00,3009.77
9 - CHECKING,04/16/2012,Purchase: 73103848 GAME ROOM TOLEDO OH Card: ****9706 04/15/2012,-53.38,0.00,3026.94
9 - CHECKING,04/16/2012,Withdrawal AES-STDNT LOAN ,-138.36,0.00,3080.32
9 - CHECKING,04/16/2012,Purchase: 99999999 PARTY CITY #609 TOLEDO OH Card: ****9706 04/14/2012,-27.79,0.00,3218.68
9 - CHECKING,04/13/2012,Deposit SYSTEMS IN MOTIO-DIRECT DEP ********8161Z7U,2042.20,0.00,3246.47
9 - CHECKING,04/09/2012,Deposit ,50.00,0.00,1204.27
9 - CHECKING,04/09/2012,Withdrawal THE STUDENT LOAN-SLPAYMENTS ,-120.58,0.00,1154.27
9 - CHECKING,04/09/2012,Purchase: 99999999 APL*APPLE ITUNES STORE 866-712-7753 CA Card: ****0544 04/07/2012,-2.11,0.00,1274.85
9 - CHECKING,04/08/2012,Purchase: 99999999 MCDONALDS F11263 SOUTHGATE MI Card: ****0544 04/06/2012,-6.95,0.00,1276.96
9 - CHECKING,04/06/2012,Transfer From ****3610-1 3 ~Float until next paycheck...~,1000.00,0.00,1283.91
9 - CHECKING,04/06/2012,Withdrawal SALLIE MAE-SLMA DEBIT ,-57.92,0.00,283.91
9 - CHECKING,04/05/2012,Purchase: 00521928 RITE AID CORP. 5765 SECOR ROAD TOLEDO OH Card: ****9706 04/05/2012,-8.59,0.00,341.83
9 - CHECKING,04/05/2012,Purchase: 06351949 PETCO ANIMAL SUPPLIES 5027 MONROE ST TOLEDO OH Card: ****0544 04/05/2012,-176.08,0.00,350.42
9 - CHECKING,04/05/2012,Withdrawal MICHIGAN GAS-ONLINE PMT ,-83.12,0.00,526.50
9 - CHECKING,04/05/2012,Deposit Toledo Firefight-BILL PMT PEXC#*****8959,241.00,0.00,609.62
9 - CHECKING,04/04/2012,Purchase: 010 PIZZA HUT 316603166204 LAMBERTVILLE MI Card: ****0544 04/03/2012,-26.50,0.00,368.62
9 - CHECKING,04/04/2012,Purchase: 30409097 USPS 255240014 8213 SECOR LAMBERTVILLE MI Card: ****9706 04/04/2012,-38.35,0.00,395.12
9 - CHECKING,04/04/2012,Purchase: 30409098 USPS 255240014 8213 SECOR LAMBERTVILLE MI Card: ****9706 04/04/2012,-18.04,0.00,433.47
9 - CHECKING,04/04/2012,Purchase: KC686400 KROGER 7405 SECOR RD LAMBERTVILLE MI Card: ****0544 04/04/2012,-25.88,0.00,451.51
9 - CHECKING,04/04/2012,Purchase: 99999999 GREAT CLIPS 8965 LAMBERTVILLE MI Card: ****9706 04/03/2012,-10.99,0.00,477.39
9 - CHECKING,04/04/2012,Purchase: 99999999 GOODWILL OF NW OHIO #2 TOLEDO OH Card: ****9706 04/03/2012,-19.22,0.00,488.38
9 - CHECKING,04/03/2012,Purchase: LK757257 KIDS STOP  THE TOLEDO OH Card: ****9706 04/03/2012,-30.69,0.00,507.60
9 - CHECKING,04/03/2012,Purchase: KCO86482 KROGER 3462 W.STERNS RD. LAMBERTVILLE MI Card: ****0544 04/03/2012,-13.95,0.00,538.29
9 - CHECKING,04/03/2012,Withdrawal ,-312.00,0.00,552.24
9 - CHECKING,04/03/2012,Deposit ,76.00,0.00,864.24
9 - CHECKING,04/03/2012,Purchase: 30409097 USPS 255240014 8213 SECOR LAMBERTVILLE MI Card: ****9706 04/03/2012,-27.27,0.00,788.24
9 - CHECKING,04/03/2012,Withdrawal PROG MARATHON-INS PREM ,-118.25,0.00,815.51
9 - CHECKING,04/03/2012,Withdrawal BP BRIAN KRABACH-BILL PMT ,-1150.00,0.00,933.76
9 - CHECKING,04/02/2012,Purchase: 00000057 THE HOME DEPOT 3848 1035 W ALEXIS RD TOLEDO OH Card: ****0544 04/02/2012,-31.93,0.00,2083.76
9 - CHECKING,04/02/2012,Withdrawal LARSEN BILLING S-ACH ,-200.00,0.00,2115.69
9 - CHECKING,04/02/2012,Withdrawal BP DEBBIE KRABAC-BILL PMT ,-241.00,0.00,2315.69
9 - CHECKING,03/31/2012,Deposit Dividend APY 0.050% APYE 0.050% (03/01/2012 - 03/31/2012),0.15,0.00,2556.69
9 - CHECKING,03/31/2012,Purchase: LK126636 TIFFANYS PIZZA CO LAMBERTVILLE MI Card: ****0544 03/30/2012,-22.23,0.00,2556.54
